909,"Комод DD","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",F13-W10/BR,,,,,,,100,F13-W10/BR,"Dome Deco",catalog/images/F13W10BR.jpg,yes,75075,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод DD L180 X W51 X H60 CM","Комод DD","Комод DD L180 X W51 X H60 CM","Комод DD L180 X W51 X H60 CM",komod-dd_f13-w10br,6,0,,,"Комод DD,коричневый,дерево",0,true,1
910,"Комод из орехового дерева DD","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",F13-W20/WA,,,,,,,100,F13-W20/WA,"Dome Deco","catalog/images/F13W20WA (1).jpg",yes,126945,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод из орехового дерева DD L180 X W45 X H77 CM","Комод из орехового дерева DD","Комод из орехового дерева DD L180 X W45 X H77 CM","Комод из орехового дерева DD L180 X W45 X H77 CM",komod-iz-orehovogo-dereva-dd_f13-w20wa,6,0,,,"Комод из орехового дерева DD,грецкий орех,дерево",0,true,1
911,"Тумба TV ""Triangle"" DD","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",F13-W17/BR,,,,,,,100,F13-W17/BR,"Dome Deco",catalog/images/F13W17BR.jpg,yes,136045,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV ""Triangle"" DD L180 X W45 X H58 CM","Тумба TV ""Triangle"" DD с  золотистыми ножками","Тумба TV ""Triangle"" DD L180 X W45 X H58 CM","Тумба TV ""Triangle"" DD L180 X W45 X H58 CM",tumba-tv-triangle-dd_f13-w17br,6,0,,,"Тумба TV ""Triangle"" DD,коричневый,дерево",0,true,1
912,"Тумба TV DD","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",F13-W12/BR,,,,,,,100,F13-W12/BR,"Dome Deco",catalog/images/F13W12BR.jpg,yes,70525,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV DD L180 X W45 X H55 CM","Тумба TV DD","Тумба TV DD L180 X W45 X H55 CM","Тумба TV DD L180 X W45 X H55 CM",tumba-tv-dd_f13-w12br,6,0,,,"Тумба TV DD,коричневый,дерево",0,true,1
913,"Тумба TV DD","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",F13-W14/BR,,,,,,,100,F13-W14/BR,"Dome Deco",catalog/images/F13W14BR.jpg,yes,68250,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV DD L200 X W50 X H53 CM","Тумба TV DD","Тумба TV DD L200 X W50 X H53 CM","Тумба TV DD L200 X W50 X H53 CM",tumba-tv-dd_f13-w14br,6,0,,,"Тумба TV DD,коричневый,дерево",0,true,1
914,"Комод DR","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",D231/ECRU,,,,,,,100,D231/ECRU,Duriex,catalog/images/D231.jpg,yes,18988,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод DR L100 X W50 X H100 CM","Комод 100x50x100, массив сосны, цвет бежевый","Комод DR L100 X W50 X H100 CM","Комод DR L100 X W50 X H100 CM",komod-dr_d231ecru,6,0,,,"Комод DR,кремовый,дерево",0,true,1
915,"Тумба TV DR","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",D411/BLA,,,,,,,100,D411/BLA,Duriex,catalog/images/D411.jpg,yes,19355,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV DR L129 X W50 X H70 CM","Тумба TV DR","Тумба TV DR L129 X W50 X H70 CM","Тумба TV DR L129 X W50 X H70 CM",tumba-tv-dr_d411bla,6,0,,,"Тумба TV DR,античный чёрный,дерево",0,true,1
916,"Тумба TV DR","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",D566,,,,,,,100,D566,Duriex,catalog/images/D566.jpg,yes,16048,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV DR L150 X W40 X H50 CM","Тумба TV DR","Тумба TV DR L150 X W40 X H50 CM","Тумба TV DR L150 X W40 X H50 CM",tumba-tv-dr_d566,6,0,,,"Тумба TV DR,белый,дерево",0,true,1
917,"Комод JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",49068,,,,,,,100,49068,Jolipa,catalog/images/49068.jpg,yes,33800,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод JLP L105 X W50 X H85 CM","Комод JLP","Комод JLP L105 X W50 X H85 CM","Комод JLP L105 X W50 X H85 CM",komod-jlp_49068,6,0,,,"Комод JLP,белый,дерево",0,true,1
918,"Комод JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",42263,,,,,,,100,42263,Jolipa,catalog/images/42263.jpg,yes,23310,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод JLP L100 X W45 X H85 CM","Комод JLP","Комод JLP L100 X W45 X H85 CM","Комод JLP L100 X W45 X H85 CM",komod-jlp_42263,6,0,,,"Комод JLP,белый,дерево",0,true,1
919,"Комод JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",46486,,,,,,,100,46486,Jolipa,catalog/images/46486.jpg,yes,22145,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод JLP L67 X W41 X H103 CM","Комод JLP","Комод JLP L67 X W41 X H103 CM","Комод JLP L67 X W41 X H103 CM",komod-jlp_46486,6,0,,,"Комод JLP,белый,дерево",0,true,1
920,"Комод JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",47404,,,,,,,100,47404,Jolipa,catalog/images/47404.jpg,yes,23310,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод JLP L67 X W41 X H103 CM","Комод JLP","Комод JLP L67 X W41 X H103 CM","Комод JLP L67 X W41 X H103 CM",komod-jlp_47404,6,0,,,"Комод JLP,белый,дерево",0,true,1
921,"Комод JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",51236,,,,,,,100,51236,Jolipa,catalog/images/51236.jpg,yes,20979,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод JLP L79 X W38 X H93 CM","Комод JLP","Комод JLP L79 X W38 X H93 CM","Комод JLP L79 X W38 X H93 CM",komod-jlp_51236,6,0,,,"Комод JLP,белый,дерево",0,true,1
922,"Комод для украшений JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",39509,,,,,,,100,39509,Jolipa,catalog/images/39509.jpg,yes,17366,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод для украшений JLP L48 X W36 X H112 CM","Комод для украшений JLP","Комод для украшений JLP L48 X W36 X H112 CM","Комод для украшений JLP L48 X W36 X H112 CM",komod-dlya-ukrasheniy-jlp_39509,6,0,,,"Комод для украшений JLP,белый,дерево",0,true,1
923,"Тумба TV JLP","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",13410,,,,,,,100,13410,Jolipa,catalog/images/13410.jpg,yes,14452,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV JLP ","Тумба TV JLP","Тумба TV JLP ","Тумба TV JLP ",tumba-tv-jlp_13410,6,0,,,"Тумба TV JLP,серый,дерево",0,true,1
924,"Комод La Rochelle Mob","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238","COMODA 5S",,,,,,,100,"COMODA 5S",Mobex,catalog/images/,yes,37975,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод La Rochelle Mob L562xH1009","Комод La Rochelle Mob","Комод La Rochelle Mob L562xH1009","Комод La Rochelle Mob L562xH1009",komod-la-rochelle-mob_comoda-5s,6,0,,,"Комод La Rochelle Mob,серый,дерево",0,true,1
925,"Комод ""Звезда родилась"" RM","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",136880,,,,,,,100,136880,"Riviera Maison",catalog/images/,yes,85247,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод ""Звезда родилась"" RM L115 X W55 X H90 CM","Комод ""Звезда родилась"", размер 115 x 55 x 90 cm, Переработанная твердая древесина, не токсическая выкраска, ротанговые корзины","Комод ""Звезда родилась"" RM L115 X W55 X H90 CM","Комод ""Звезда родилась"" RM L115 X W55 X H90 CM",komod-zvezda-rodilas-rm_136880,6,0,,,"Комод ""Звезда родилась"" RM,белый,дерево",0,true,1
926,"Комод RVA","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",8002,,,,,,,100,8002,Rvastley,catalog/images/8002.jpg,yes,53661,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод RVA L78 X W71 X H46 CM","Комод из трех выдвежных ящиков, в стиле 1950-х годов, темно серого цвета, фасад стеклянный, по периметру  скошенное стекло с темной отделкой из орехового дерева","Комод RVA L78 X W71 X H46 CM","Комод RVA L78 X W71 X H46 CM",komod-rva_8002,6,0,,,"Комод RVA,синий,дерево, стекло",0,true,1
927,"Комод RVA","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",8126A,,,,,,,100,8126A,Rvastley,catalog/images/8126.jpg,yes,53661,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод RVA L78 X W71 X H46 CM","Комод из трех выдвежных ящиков, цвета морозной слоновой кости, фасад стеклянный, по периметру  скошенное стекло с темной отделкой из орехового дерева","Комод RVA L78 X W71 X H46 CM","Комод RVA L78 X W71 X H46 CM",komod-rva_8126a,6,0,,,"Комод RVA,белый,дерево, стекло",0,true,1
928,"Комод Galbee Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238","PS239 (P025A-P029)",,,,,,,100,"PS239 (P025A-P029)",Szel,catalog/images/PS239-P029--P030A.jpg,yes,36138,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Galbee Szel ","Комод Galbee Szel","Комод Galbee Szel ","Комод Galbee Szel ",komod-galbee-szel_ps239-p025a-p029,6,0,,,"Комод Galbee Szel,бежевый, патина бордо,дерево",0,true,1
929,"Комод Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",PS448(P008),,,,,,,100,PS448(P008),Szel,catalog/images/PS448-P030.jpg,yes,25113,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Szel L80 X W45 X H90 CM","Комод Szel","Комод Szel L80 X W45 X H90 CM","Комод Szel L80 X W45 X H90 CM",komod-szel_ps448p008,6,0,,,"Комод Szel,синий,дерево",0,true,1
930,"Комод Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238","PS221 (P004)",,,,,,,100,"PS221 (P004)",Szel,catalog/images/PS221-P023.jpg,yes,15435,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Szel L140 X W60 X H56 CM","Комод Szel","Комод Szel L140 X W60 X H56 CM","Комод Szel L140 X W60 X H56 CM",komod-szel_ps221-p004,6,0,,,"Комод Szel,белый,дерево",0,true,1
931,"Комод Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238","PS221 (P051)",,,,,,,100,"PS221 (P051)",Szel,"catalog/images/PS221-P028 (1 of 2).jpg",yes,15435,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Szel L140 X W60 X H56 CM","Комод Szel","Комод Szel L140 X W60 X H56 CM","Комод Szel L140 X W60 X H56 CM",komod-szel_ps221-p051,6,0,,,"Комод Szel,синий,дерево",0,true,1
932,"Комод Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238","PS151-TOP OAK (P038-P058)",,,,,,,100,"PS151-TOP OAK (P038-P058)",Szel,catalog/images/ps151-TopP002-P030.jpg,yes,26338,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Szel L100 X W50 X H100 CM","Комод Szel","Комод Szel L100 X W50 X H100 CM","Комод Szel L100 X W50 X H100 CM",komod-szel_ps151-top-oak-p038-p058,6,0,,,"Комод Szel,оливковый,дерево",0,true,1
933,"Комод Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",PS572(P004),,,,,,,100,PS572(P004),Szel,catalog/images/PS572-P023_02.jpg,yes,20458,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Szel L85 X W37 X H120 CM","Комод Szel","Комод Szel L85 X W37 X H120 CM","Комод Szel L85 X W37 X H120 CM",komod-szel_ps572p004,6,0,,,"Комод Szel,белый,дерево",0,true,1
934,"Комод Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",PS357(P003A-P029),,,,,,,100,PS357(P003A-P029),Szel,"catalog/images/PS357-P004--P003A (1 of 5).jpg",yes,24745,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Комод Szel ","Комод Szel","Комод Szel ","Комод Szel ",komod-szel_ps357p003a-p029,6,0,,,"Комод Szel,черный, красный патина,дерево",0,true,1
935,"Тумба TV Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",PS417(P067-P004),,,,,,,100,PS417(P067-P004),Szel,catalog/images/PS417-P022.jpg,yes,25603,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV Szel L180 X W46 X H56 CM","Тумба TV Szel","Тумба TV Szel L180 X W46 X H56 CM","Тумба TV Szel L180 X W46 X H56 CM",tumba-tv-szel_ps417p067-p004,6,0,,,"Тумба TV Szel,белый, натуральный,дерево",0,true,1
936,"Тумба TV Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",PS564Pine(P004-P037),,,,,,,100,PS564Pine(P004-P037),Szel,catalog/images/PS564-OakP035-PineP003.jpg,yes,24868,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV Szel L120 X W40 X H50 CM","Тумба TV Szel","Тумба TV Szel L120 X W40 X H50 CM","Тумба TV Szel L120 X W40 X H50 CM",tumba-tv-szel_ps564pinep004-p037,6,0,,,"Тумба TV Szel,белый, натуральный,дерево",0,true,1
937,"Тумба TV Szel","62,81,88,87,96,121,95,112,94,107,92,102,64,149,148,238",PS565Pine(P004-P037),,,,,,,100,PS565Pine(P004-P037),Szel,catalog/images/PS565-OakP035-PineP003.jpg,yes,35648,0,"2009-02-03 16:59:00","2009-02-03 16:59:00",2009-02-03,0,кг,0,0,0,см,true,9,"Тумба TV Szel L180 X W46 X H56 CM","Тумба TV Szel","Тумба TV Szel L180 X W46 X H56 CM","Тумба TV Szel L180 X W46 X H56 CM",tumba-tv-szel_ps565pinep004-p037,6,0,,,"Тумба TV Szel,белый, натуральный,дерево",0,true,1
