Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,SPW3050/BE,SPW3050BE.jpg,Подушка DD,бежевый,L30 X W50 CM,кожа,"1,000",шт,"3675,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,F6090/BE,F6090BE.JPG,Подушка DD,бежевый,L60 Х W90 CM,"акрил, полиэстр","2,000",шт,"3675,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,JAN3343B/MIX,JAN3343BMIX.JPG,Подушка DD,смешанные,L33 x W43 CM,полиэстр,"2,000",шт,"2363,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,CL5050/BE,CL5050BE.jpg,Подушка DD,серый,L50 X W50 CM,кожа,"1,000",шт,"5005,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,LEX4040B/RS,LEX4040BRS.jpg,Подушка DD,смешанные,L40 X W40 CM,"шоковая нить, хлопок","2,000",шт,"7275,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,SIN4545K/MIX,sin4545kmix.jpg,Подушка DD,смешанные,L45 X W45 CM,"шерсть, шолк","1,000",шт,"2685,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,HEM4545D/MIX,HEM4545DMIX.jpg,Подушка DD,смешанные,L45 X W45 CM,полиэстр,"2,000",шт,"1360,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,COR4545C/MIX,cor4545cmix.jpg,Подушка DD,смешанные,L45 X W45 CM,шерсть,"2,000",шт,"3185,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,COR4545A/MIX,COR4545AMIX.jpg,Подушка DD,смешанные,L45 X W45 CM,шерсть,"4,000",шт,"3185,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,COR4040A/OC,COR4040AOC.jpg,Подушка DD,оранжевый,L40 X W40 CM,"вискоза, хлопок","2,000",шт,"1815,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,COR4040A/GRI,COR4040AGRI.jpg,Подушка DD,серый,L40 X W40 CM,"вискоза, хлопок","2,000",шт,"1815,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,COR5050A/BE,COR5050ABE.jpg,Подушка DD,бежевый,L50 X W50 CM,хлопок,"2,000",шт,"1815,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ADR4545/OR,adr4545or.jpg,Подушка DD,смешанные,L45 X W45 CM,"вискоза, хлопок","5,000",шт,"1815,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,FAN4545D/YE,FAN4545DYE.jpg,Подушка DD,желтый,L45 X W45 CM,полиэстр,"4,000",шт,"1502,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,FAN4545D/OR,FAN4545DOR.jpg,Подушка DD,оранжевый,L45 X W45 CM,,"6,000",шт,"1502,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,HOM5050A/BE,HOM5050Abe.jpg,Подушка DD,бежевый,L50 X W50 CM,"хлопок, вельвет","3,000",шт,"1815,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,HOM4545B/MIX,HOM4545BMIX.jpg,Подушка DD,смешанные,L45 X W45 CM,"хлопок, вельвет","5,000",шт,"1815,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,REN4545/BR,REN4545BR.jpg,Подушка DD,коричневый,L45 X W45 CM,полиэстр,"1,000",шт,"905,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,CL4040/OR,CL4040OR.jpg,Подушка DD,оранжевый,L45 X W45 CM,кожа,"2,000",шт,"4095,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,UD4545H/YE,UD4545HYE.jpg,Подушка DD,желтый,L45 X W45 CM,хлопок,"2,000",шт,"3185,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,FLO4545A/LGRI,FLO4545ALGRI.JPG,Подушка DD,бежевый,L45 X W45 CM,,"7,000",шт,"1628,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,EVA4545D/SI,EVA4545DSI.JPG,Подушка DD,серебряный,L45 X W45 CM,хлопок,"1,000",шт,"2095,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,VEN3050/PU,VEN3050PU.jpg,Подушка DD,фиолетовый,L30 X W50 CM,полиэстр,"6,000",шт,"1313,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,SPL4040/RE,SPL4040RE.jpg,Подушка DD,красный,L40 Х W40 CM,кожа,"1,000",шт,"1838,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ARV4545/MIX,ARV4545MIX.jpg,Подушка DD,смешанные,L45 X W45 X H3 CM,вискоза,"4,000",шт,"3733,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,SHE4545/BOR,SHE4545BOR.jpg,Подушка DD,бордовый,L45 X W45 CM,"полиэстр, нейлон","2,000",шт,"1035,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,SHE6060/BOR,SHE6060BOR.jpg,Подушка DD,бордовый,L60 X W60 CM,"полиэстр, нейлон","4,000",шт,"1413,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,NELL4040/GO,NELL4040GO.jpg,Подушка DD,золотистый,L40 Х W40 CM,полиэстр,"2,000",шт,"1224,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,HER4545B/RS,HER4545BRS.jpg,Подушка DD,светло-розовый,L45 X W45 CM,акрил,"5,000",шт,"1885,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,SHE6060/YE,SHE6060YE.jpg,Подушка DD,желтый,L60 X W60 CM,"полиэстр, нейлон","1,000",шт,"1413,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,YAN4545/YE,YAN4545YE.jpg,Подушка DD,желтый,L45 X W45 CM,полиэстр,"7,000",шт,"1413,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,FEL4545/OR,FEL4545OR (2).jpg,Подушка DD,оранжевый,L45 X W45 CM,ART SUEDE,"3,000",шт,"940,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,FEL4545/RS,FEL4545RS.jpg,Подушка DD,светло-розовый,L45 X W45 CM,ART SUEDE,"1,000",шт,"940,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,VEN3050/BL,VEN3050BL.jpg,Подушка декор. DD,голубой,L30 X W50 CM,хлопок,"10,000",шт,"1313,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TIE3045/MIX,TIE3045MIX.jpg,Подушка декор. DD,светло-голубой,L30 X W45 CM,хлопок,"6,000",шт,"1885,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TIE4040/MIX,TIE4040MIX.jpg,Подушка декор. DD,светло-голубой,L40 Х W40 CM,хлопок,"5,000",шт,"2095,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,NZL4545/OR,NZL4545OR.jpg,Подушка из кожи DD,оранжевый,L45 X W45 CM,кожа,"2,000",шт,"3780,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,NZL4545/BL,NZL4545BL.jpg,Подушка из кожи DD,голубой,L45 X W45 CM,кожа,"2,000",шт,"3780,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,NZL4545/GR,NZL4545GR.jpg,Подушка из кожи DD,зелёный,L45 X W45 CM,кожа,"2,000",шт,"3780,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,F6090/CHI,F6090CHI.JPG,Подушка DD,серый,L60 X W90 CM,искуственная шиншилла,"1,000",шт,"3675,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ML4040/DBL,ML4040DBL.JPG,"Подушка ""Metallic"" DD",темно-синий,L40 X W40,кожа,"1,000",шт,"4250,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TOM4545F/MIX,TOM4545FMIX.JPG,"Подушка ""Tom"" DD",смешанные,L45 X W45 X H3,хлопок,"3,000",шт,"2358,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,WA4545/GRI,WA4545GRI.JPG,Подушка DD,серый,L45 X W45 CM,"фетр, примесь тканей","1,000",шт,"980,00",,современный
Domicil,Декор & Разное,Подушки,Декоративные подушки,Kissen-Kästchen 50x50,Kissen-Kastchen.JPG,Подушка DM,,L50 X W50 CM,,"1,000",шт,"6300,00",,класика
Domicil,Декор & Разное,Подушки,Декоративные подушки,Kissen-Chaumont 50x50,Kissen-Chaumont_1.JPG,Подушка DM,,L50 X W50 CM,,"1,000",шт,"9240,00",,класика
Domicil,Декор & Разное,Подушки,Декоративные подушки,CUS1061A,CUS1061A.JPG,Подушка DM,серый,L40 X W40 CM,,"1,000",шт,"3709,00",,класика
Domicil,Декор & Разное,Подушки,Декоративные подушки,CUS1063A,CUS1063A_1.JPG,Подушка DM,разноцветный,L45 X W45 CM,,"1,000",шт,"5042,00",,класика
Domicil,Декор & Разное,Подушки,Декоративные подушки,K1,K1.JPG,Подушка DM,,L30 X W45 CM,,"2,000",шт,"2450,00",,класика
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48020,48020.jpg,Подушка BURGUNDY JLP,бордовый,30X50CM,,"2,000",шт,"932,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48012,48012.jpg,Подушка HOME SWEET JLP,белый,30X50CM,,"1,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48017,48017.jpg,Подушка HOME SWEET JLP,красный,,,"4,000",шт,"816,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48018,48018.jpg,Подушка HOME SWEET JLP,белый,30X50CM,,"1,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,53092,53092.jpg,Подушка JLP,бежевый,40X40CM,,"11,000",шт,"1399,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,50311,50311.jpg,Подушка JLP,"белый, синий",45X45CM,,"4,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,96992,96992.jpg,Подушка JLP IVORY,белый,50X50CM,,"4,000",шт,"875,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48013,48013.jpg,Подушка велюровая JLP,серый,40X40CM,,"1,000",шт,"932,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,48014,48014.jpg,Подушка велюровая JLP,серый,30X50CM,,"2,000",шт,"932,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,39831,39831.jpg,Подушка для стула  JLP,белый,40X40CM,,"2,000",шт,"816,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,37466,37466.jpg,Подушка серая  JLP,серый,60X60CM,,"3,000",шт,"1924,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,37465,37465.jpg,Подушка серая JLP,серый,60X40CM,,"4,000",шт,"1341,00",,традиционный
Jolipa,Декор & Разное,Подушки,Декоративные подушки,50132,50132.jpg,Подушка сине-белая JLP,сине-белый,49X40X20 CM,,"3,000",шт,"699,00",,традиционный
Rvastley,Декор & Разное,Подушки,Декоративные подушки,7954,7954.jpg,Подушка RVA,,40 X 40,,"8,000",шт,"1602,00",,традиционный
Украина,Декор & Разное,Подушки,Декоративные подушки,Chanel рогожка 30x40,CHANEL2.JPG,Подушка Шанель/рогожка  СП,,L30 X W40 CM,,"1,000",шт,"1500,00",,классика
Украина,Декор & Разное,Подушки,Декоративные подушки,Chanel шелк 35x40,CHANEL.JPG,Подушка Шанель/шелк  СП,серый,L35 X W40 CM,шелк,"1,000",шт,"1500,00",шелковая подушка шанель,классика
BLOOMINGVILE,Декор & Разное,Подушки,Декоративные подушки,55000119,55000119.JPG,Подушка BL,морской/золотой принт,D45 CM,хлопок,"4,000",шт,"2415,00",,традиционный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TAP4545/30,TAP454530.JPG,Подушка DD,бежевый,L45 X W45 CM,полиэстр,"1,000",шт,"3675,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,THU4040/OR,THU4040OR.JPG,Подушка DD,оранжевый,L40 X W40 CM,,"1,000",шт,"520,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,THU4040/RED,THU4545RED.jpg,Подушка DD,красный,L40 X W40 CM,,"1,000",шт,"520,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TON4545/BL,TON4545BL.JPG,Подушка DD,синий,L45 X W45 CM,,"2,000",шт,"520,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,TON4545/LGRI,TON4545LGRI.JPG,Подушка DD,серый,L45 X W45 CM,,"2,000",шт,"450,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ROC4040A/NA,ROC4040ANA.JPG,Подушка DD,бежевый,L40 X W40 CM,,"7,000",шт,"1313,00",,современный
DomeDeco,Декор & Разное,Подушки,Декоративные подушки,ROC4040C/MIX,ROC4040CMIX.JPG,Подушка DD,смешанные,L40 X W40 CM,,"1,000",шт,"2363,00",,современный
